url,europeana_issue_id,datestamp,date,publisher,spatial_distribution,spatial_origin,languages
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011167799:mpeg21:a0060,/9200359/BibliographicResource_3000115843487,2021-01-06T07:44:49.784Z,1922-10-25,Joh. Geradtsen comp.,Regionaal/lokaal,Hilversum,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110571789:mpeg21:a0276,/9200359/BibliographicResource_3000115896797,2021-01-06T10:35:23.271Z,1933-11-22,Dagblad De Telegraaf,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110620420:mpeg21:a0066,/9200359/BibliographicResource_3000115943221,2021-01-06T15:29:55.721Z,1894-02-06,"Roost, Hoogesteger & Co.",Verenigde Staten,[s.l.],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010281602:mpeg21:a0018,/9200359/BibliographicResource_3000115933457,2021-01-06T12:35:33.544Z,1938-07-30,NV Paulus Drukkerĳ,Nederlandse Antillen,[Willemstad,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010941484:mpeg21:a0007,/9200359/BibliographicResource_3000115952376,2021-01-06T13:13:33.830Z,1939-03-04,Arbeiderspers,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010891096:mpeg21:a0001,/9200359/BibliographicResource_3000115474758,2021-01-05T17:38:45.764Z,1906-09-18,Nieuwenhuis,Regionaal/lokaal,Groningen,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010108563:mpeg21:a0216,/9200359/BibliographicResource_3000100641306,2021-01-06T18:14:00.726Z,1909-11-27,Steendrukkerĳ Roeloffzen en Hübner;NV De Kleine Courant,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110541713:mpeg21:a0001,/9200359/BibliographicResource_3000115949275,2021-01-06T13:01:16.836Z,1898-09-26,Dagblad De Telegraaf,Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010030623:mpeg21:a0206,/9200359/BibliographicResource_3000112879357,2021-01-06T23:57:04.989Z,1929-12-07,Nĳgh,Landelijk,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011217796:mpeg21:a0017,/9200359/BibliographicResource_3000115801083,2021-01-06T16:15:52.739Z,1933-03-30,Timmerman,Suriname,[Paramaribo],nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:011171289:mpeg21:a0086,/9200359/BibliographicResource_3000115790802,2021-01-06T06:00:29.003Z,1933-10-03,Joh. Geradtsen comp.,Regionaal/lokaal,Hilversum,nl
